instrument,granularity,time,open,high,low,close,volume
EUR_USD,H1,2026-05-31T21:00:00.000000000Z,1.16543,1.16618,1.16543,1.166,642
EUR_USD,H1,2026-05-31T22:00:00.000000000Z,1.16602,1.16611,1.16517,1.16544,4265
EUR_USD,H1,2026-05-31T23:00:00.000000000Z,1.16544,1.16558,1.16484,1.16486,5765
EUR_USD,H1,2026-06-01T00:00:00.000000000Z,1.16486,1.16538,1.1645,1.16477,6358
EUR_USD,H1,2026-06-01T01:00:00.000000000Z,1.16478,1.16482,1.1642,1.16449,3360
EUR_USD,H1,2026-06-01T02:00:00.000000000Z,1.16448,1.16472,1.16437,1.16466,1951
EUR_USD,H1,2026-06-01T03:00:00.000000000Z,1.16468,1.16491,1.16416,1.16439,2329
EUR_USD,H1,2026-06-01T04:00:00.000000000Z,1.16438,1.16486,1.16435,1.16482,1444
EUR_USD,H1,2026-06-01T05:00:00.000000000Z,1.16482,1.16534,1.16479,1.16514,2378
EUR_USD,H1,2026-06-01T06:00:00.000000000Z,1.16514,1.16648,1.16502,1.16647,5808
EUR_USD,H1,2026-06-01T07:00:00.000000000Z,1.16644,1.16648,1.16518,1.16566,5120
EUR_USD,H1,2026-06-01T08:00:00.000000000Z,1.16568,1.16602,1.16535,1.16578,3989
EUR_USD,H1,2026-06-01T09:00:00.000000000Z,1.16577,1.16606,1.16483,1.16508,4734
EUR_USD,H1,2026-06-01T10:00:00.000000000Z,1.1651,1.16511,1.1646,1.16476,3698
EUR_USD,H1,2026-06-01T11:00:00.000000000Z,1.16474,1.16482,1.16416,1.16463,3812
EUR_USD,H1,2026-06-01T12:00:00.000000000Z,1.16464,1.16506,1.16452,1.16474,5817
EUR_USD,H1,2026-06-01T13:00:00.000000000Z,1.16474,1.16482,1.16101,1.16101,17884
EUR_USD,H1,2026-06-01T14:00:00.000000000Z,1.16096,1.16184,1.16068,1.16175,12747
EUR_USD,H1,2026-06-01T15:00:00.000000000Z,1.16178,1.16288,1.16153,1.1623,9787
EUR_USD,H1,2026-06-01T16:00:00.000000000Z,1.16232,1.16306,1.16164,1.16298,6982
EUR_USD,H1,2026-06-01T17:00:00.000000000Z,1.163,1.1638,1.16252,1.16348,7492
EUR_USD,H1,2026-06-01T18:00:00.000000000Z,1.16347,1.16353,1.16308,1.16308,2447
EUR_USD,H1,2026-06-01T19:00:00.000000000Z,1.16308,1.16338,1.16267,1.16318,3346
EUR_USD,H1,2026-06-01T20:00:00.000000000Z,1.16318,1.16339,1.16306,1.16321,1517
EUR_USD,H1,2026-06-01T21:00:00.000000000Z,1.163,1.1637,1.16299,1.16341,1289
EUR_USD,H1,2026-06-01T22:00:00.000000000Z,1.16342,1.16352,1.16326,1.16339,832
EUR_USD,H1,2026-06-01T23:00:00.000000000Z,1.16342,1.16361,1.16328,1.16354,1087
EUR_USD,H1,2026-06-02T00:00:00.000000000Z,1.16354,1.16355,1.16294,1.16315,3139
EUR_USD,H1,2026-06-02T01:00:00.000000000Z,1.16316,1.1637,1.16284,1.16307,3714
EUR_USD,H1,2026-06-02T02:00:00.000000000Z,1.16308,1.16346,1.16302,1.16308,2203
EUR_USD,H1,2026-06-02T03:00:00.000000000Z,1.16309,1.16352,1.16309,1.16342,2058
EUR_USD,H1,2026-06-02T04:00:00.000000000Z,1.16342,1.16388,1.16342,1.16379,1547
